#mm9.knownGene.name	mm9.kgXref.geneSymbol
uc007ana.1	AK050085
uc007anb.1	Gm597
uc007anc.1	AK087209
uc007and.1	AK188812
uc007ane.1	Phf3
uc007anf.1	Phf3
uc007ang.1	Phf3
uc007anh.1	Ptp4a1
uc007ani.1	Ptp4a1
uc007anj.2	4931428L18Rik
uc007ank.1	Lgsn
uc007anl.2	4931428L18Rik
uc007anm.1	4930521A18Rik
uc011wiu.1	Gm4850
uc007ann.1	Slm1
uc007ano.1	Khdrbs2
uc007anp.1	Khdrbs2
uc011wiv.1	Gm9839
uc011wiw.1	Gm5415
uc007anq.1	Prim2
uc007anr.1	Prim2
uc007ans.1	DQ714940
uc007ant.2	1700001G17Rik
uc007anu.1	Rab23
uc007anv.1	Rab23
uc007anw.2	Rab23
uc007anx.2	Rab23
uc011wix.1	Rab23
uc007any.1	Bag2
uc007anz.1	Zfp451
uc007aoa.1	Znf451
uc007aob.1	Zfp451
uc011wiy.1	Gm15455
uc007aoc.1	Bend6
uc007aod.1	Bend6
uc011wiz.1	Bend6
uc007aoe.1	Bend6
uc007aof.1	Bpag1
uc007aog.1	Bpag1
uc007aoh.1	Bpag1
uc007aoi.1	Dst
uc007aoj.1	Dst
uc007aok.1	Dst
uc007aol.1	Dst
uc007aom.1	Bpag1
uc007aon.1	Dst
uc007aoo.1	Bpag1
uc007aop.1	Bpag1
uc011wja.1	Ccdc115
uc007aor.2	Imp4
uc007aos.1	Ptpn18
uc007aot.1	Ptpn18
uc007aou.1	AK016244
uc007aov.1	Prss39
uc007aow.1	Cfc1
uc011wjb.1	Tesp2
uc007aox.1	Prss40
uc011wjc.1	Fam123c
uc007aoz.1	DQ558230
uc007apa.1	DQ551615
uc007apb.1	DQ713197
uc007apc.1	DQ540165
uc007apd.1	DQ688885
uc011wjd.1	AA619741
uc007ape.1	AK082264
uc007apf.1	mKIAA1112
uc007apg.1	Arhgef4
uc007aph.1	Arhgef4
uc007api.1	Arhgef4
uc011wje.1	Fam168b
uc007apj.2	Fam168b
uc011wjf.1	Fam168b
uc007apk.1	Plekhb2
uc007apl.1	Plekhb2
uc007apm.1	AK003327
uc007apn.2	Hs6st1
uc007apo.2	Ugcgl1
uc007app.2	Uggt1
uc007apq.2	Uggt1
uc007apr.2	Uggt1
uc007aps.1	Neurl3
uc007apt.1	Neurl3
uc007apv.2	Arid5a
uc007apx.2	Arid5a
uc011wjg.1	Arid5a
uc007apu.2	Arid5a
uc007apw.2	Arid5a
uc007apy.2	Arid5a
uc011wjh.1	Arid5a
uc011wji.1	Kiaa1310
uc007apz.1	4632411B12Rik
uc007aqa.1	4632411B12Rik
uc011wjj.1	Kiaa1310
uc007aqb.1	AK132955
uc007aqc.1	Lman2l
uc007aqd.1	Lman2l
uc007aqe.1	Lman2l
uc007aqf.1	Lman2l
uc007aqg.2	Cnnm4
uc007aqi.1	Cnnm3
uc007aqj.1	Cnnm3
uc007aqk.1	Cnnm3
uc011wjk.1	Acdp3
uc007aql.1	Ankrd23
uc011wjl.1	Ankrd23
uc007aqm.1	Ankrd23
uc007aqn.1	Ankrd23
uc007aqo.1	Ankrd39
uc011wjm.1	Ankrd39
uc007aqp.1	Ankrd39
uc007aqq.2	Sema4c
uc007aqr.2	Sema4c
uc007aqs.2	mKIAA1739
uc007aqu.2	Fam178b
uc011wjn.1	Fam178b
uc007aqv.2	Fam178b
uc007aqw.1	Cox5b
uc007aqx.1	Actr1b
uc007aqy.1	AK016893
uc007aqz.1	Zap70
uc007ara.1	Zap70
uc007arb.1	Zap70
uc007arc.1	Tmem131
uc007ard.1	Tmem131
uc007are.1	Vwa3b
uc011wjo.1	Vwa3b
uc007arf.1	Vwa3b
uc011wjp.1	4921511C04Rik
uc007arh.2	4921511C04Rik
uc007ari.1	Cnga3
uc007arj.1	AK051424
uc007ark.1	Inpp4a
uc007arl.2	Inpp4a
uc007arm.1	AK019601
uc007arn.1	Inpp4a
uc011wjq.1	Inpp4a
uc011wjr.1	Inpp4a
uc007aro.2	6330578E17Rik
uc007arp.1	Unc50
uc007arq.1	Unc50
uc007arr.2	Mgat4a
uc007art.2	Mgat4a
uc007aru.2	Mgat4a
uc007arv.2	Mgat4a
uc011wjs.1	4930594C11Rik
uc007arx.2	2010300C02Rik
uc007arw.1	2010300C02Rik
uc007ary.1	2010300C02Rik
uc007arz.1	Tsga10
uc007asa.1	Tsga10
uc007asb.1	Tsga10
uc007asc.1	Tsga10
uc007asd.1	Tsga10
uc007ase.1	Tsga10
uc007asf.1	Tsga10
uc007asg.1	AK039030
uc007ash.2	Lipt1
uc007asi.1	Mitd1
uc007asj.1	Mrpl30
uc007ask.1	Lyg2
uc007asl.1	Lyg1
uc007asm.1	Txndc9
uc007asn.1	Txndc9
uc007aso.1	Eif5b
uc007asp.1	Rev1
uc007asq.1	Rev1
uc007asr.1	Rev1
uc007ass.2	Aff3
uc007ast.1	Aff3
uc007asu.1	Aff3
uc007asw.1	AK048050
uc007asx.1	Lonrf2
uc007asy.1	Chst10
uc011wjt.1	Chst10
uc007asz.1	Chst10
uc007ata.1	Chst10
uc007atb.1	Nms
uc007atc.1	Pdcl3
uc007atd.2	Npas2
uc007ate.2	Gm6635
uc007atf.2	Rpl31
uc007atg.2	Tbc1d8
uc007ath.2	Tbc1d8
uc007ati.1	D1Bwg0212e
uc007atj.1	D1Bwg0212e
uc007atk.1	AK040602
uc011wju.1	Snord89
uc007atl.2	Rnf149
uc007atm.1	Creg2
uc007atn.2	Rfx8
uc007ato.2	Gm3646
uc007atp.1	BC048628
uc007atq.1	AK006899
uc007atr.1	Map4k4
uc007ats.1	Map4k4
uc011wjv.1	Map4k4
uc011wjw.1	Map4k4
uc011wjx.1	Map4k4
uc007att.1	AK041998
uc007atu.1	Il1r2
uc011wjy.1	Il1r2
uc007atv.1	Il1r1
uc007atw.1	Il1r1
uc007atx.1	Il1rl2
uc007aty.1	Il1rl2
uc007atz.2	Il1rl1
uc007aua.2	Il1rl1
uc007aub.2	Il1rl1
uc007auc.2	Il1rl1
uc007aud.1	Il18r1
uc007aue.1	Il18r1
uc007auf.1	Il18r1
uc007aug.1	Il18r1
uc007auh.1	Il18r1
uc011wjz.1	Il18r1
uc007aui.1	Il18rap
uc007auj.1	Il18rap
uc007auk.1	Il18rap
uc007aul.1	Slc9a4
uc007aum.1	Slc9a2
uc007aun.1	Slc9a2
uc007auo.1	Mfsd9
uc007aup.1	Mfsd9
uc007auq.1	Tmem182
uc007aur.1	2610017I09Rik
uc007aus.1	2610017I09Rik
uc007aut.1	2610017I09Rik
uc007auu.1	2610017I09Rik
uc007auv.1	2610017I09Rik
uc007auw.1	Pou3f3
uc007aux.2	2900092D14Rik
uc007auy.1	AK011913
uc007auz.2	Mrps9
uc007ava.2	Mrps9
uc007avb.1	Mrps9
uc007avc.2	Gpr45
uc007avd.2	Gpr45
uc007ave.1	Tgfbrap1
uc007avf.1	Tgfbrap1
uc007avg.1	Tgfbrap1
uc007avh.1	Tgfbrap1
uc007avi.1	Tgfbrap1
uc007avj.1	AI597479
uc007avk.1	Fhl2
uc007avl.1	Fhl2
uc007avm.2	Rpl29
uc007avn.1	Nck2
uc007avo.2	Nck2
uc007avp.2	1500015O10Rik
uc007avq.1	Uxs1
uc011wka.1	Uxs1
uc007avr.1	Tpp2
uc011wkb.1	Tpp2
uc007avs.1	Tpp2
uc007avt.1	Tpp2
uc007avu.1	Tpp2
uc007avv.1	A530098C11Rik
uc007avw.1	A530098C11Rik
uc007avx.2	1700029F09Rik
uc007avy.2	1700029F09Rik
uc007avz.2	1700029F09Rik
uc007awa.2	1700029F09Rik
uc007awb.1	Kdelc1
uc011wkc.1	Kdelc1
uc007awc.1	Kdelc1
uc007awd.2	Bivm
uc007awe.2	Bivm
uc007awf.2	Bivm
uc007awg.1	AK163166
uc007awh.2	Ercc5
uc007awi.2	Ercc5
uc007awj.1	Ercc5
uc007awk.1	4832428D23Rik
uc007awl.2	Gulp1
uc007awm.2	Gulp1
uc007awn.2	Gulp1
uc007awp.2	Col3a1
uc007awq.2	Col3a1
uc007awr.1	Col5a2
uc007aws.1	Col5a2
uc011wkd.1	AB345950
uc011wke.1	AB336801
uc011wkf.1	AK140358
uc007awt.1	Wdr75
uc011wkg.1	Wdr75
uc007awu.1	Slc40a1
uc007awv.1	Slc40a1
uc011wkh.1	Slc40a1
uc011wki.1	Slc40a1
uc011wkj.1	Gm3852
uc011wkk.1	EG212225
uc011wkl.1	EG212225
uc011wkm.1	EG212225
uc007awx.2	Dnahc7b
uc007awy.1	Dnahc7b
uc007awz.2	Dnahc7b
uc007axa.1	AK219219
uc007axb.1	BC048766
uc007axc.1	Slc39a10
uc007axd.1	Slc39a10
uc007axe.1	AK219219
uc007axf.1	C230029F24Rik
uc007axg.2	BC029710
uc007axh.1	AK020188
uc007axi.1	TMEFF2
uc007axj.1	Tmeff2
uc007axk.1	Sdpr
uc007axl.1	AK006937
uc007axm.1	Nabp1
uc007axn.1	Obfc2a
uc007axo.1	Obfc2a
uc007axp.1	Obfc2a
uc007axq.1	AK043869
uc007axs.2	Myo1b
uc007axr.2	Myo1b
uc007axt.2	Myo1b
uc007axu.2	Myo1b
uc007axv.2	Myo1b
uc011wkn.1	Stat4
uc007axw.1	Stat4
uc007axx.1	Stat4
uc007axy.1	Stat1
uc007axz.1	Stat1
uc007aya.1	Stat1
uc007ayb.1	Stat1
uc007ayc.1	Stat1
uc007ayd.1	Stat1
uc007aye.2	Gls
uc007ayg.1	Gls
uc011wko.1	Gls
uc007ayh.2	Nab1
uc011wkp.1	Tmem194b
uc007ayk.3	Tmem194b
uc011wkq.1	Tmem194b
uc007ayl.2	Mfsd6
uc007aym.1	Mfsd6
uc007ayn.1	Mfsd6
uc007ayo.2	Inpp1
uc011wkr.1	Hibch
uc007ayp.1	Hibch
uc007ayq.1	AK217058
uc007ayr.1	1700019D03Rik
uc007ays.1	1700019D03Rik
uc007ayt.1	Mstn
uc007ayu.1	1700019A02Rik
uc007ayv.1	Pms1
uc007ayw.1	AK052226
uc007ayx.1	Pms1
uc007ayy.2	Ormdl1
uc011wks.1	Ormdl1
uc007aza.1	Osgepl1
uc007azb.1	Osgepl1
uc011wkt.1	Osgepl1
uc007azc.1	Osgepl1
uc007azd.1	Osgepl1
uc007aze.1	Asnsd1
uc007azf.1	Asnsd1
uc007azg.1	Asnsd1
uc007azh.1	Asnsd1
uc011wku.1	Asnsd1
uc011wkv.1	Mir1937b-2
uc007azi.1	AK038423
uc007azj.2	Stk17b
uc007azk.2	Hecw2
uc011wkw.1	Hecw2
uc007azl.2	Hecw2
uc007azm.1	Hecw2
uc007azn.1	Ccdc150
uc007azo.1	Ccdc150
uc011wkx.1	Ccdc150
uc007azp.1	Gtf3c3
uc011wky.1	Pgap1
uc007azr.2	Pgap1
uc011wkz.1	Ankrd44
uc007azt.1	AK015376
uc007azu.2	Ankrd44
uc007azv.2	Ankrd44
uc007azw.1	Sf3b1
uc007azx.1	Sf3b1
uc007azy.1	Sf3b1
uc007azz.1	Coq10b
uc007baa.1	Coq10b
uc007bab.2	Hspd1
uc007bac.2	Hspe1
uc007bad.1	Mobkl3
uc007bae.1	Mobkl3
uc007baf.1	AK165532
uc011wla.1	Rftn2
uc007bag.1	Rftn2
uc007bah.1	Rftn2
uc007bai.1	AK135004
uc007baj.1	Mars2
uc011wlb.1	Boll
uc007bal.1	Boll
uc007bam.1	Boll
uc007ban.2	Plcl1
uc007bao.1	AK079812
uc007bap.1	AK033706
uc007baq.1	AK005643
uc007bar.1	Hsfy2
uc007bas.1	Satb2
uc011wlc.1	Satb2
uc011wld.1	9130024F11Rik
uc007bat.2	9130024F11Rik
uc007bav.1	BC055402
uc007baw.1	DQ705824
uc011wle.1	DQ693259
uc007bax.1	AK016177
uc007bay.2	1700066M21Rik
uc007bba.2	1110034B05Rik
uc007baz.2	1110034B05Rik
uc011wlf.1	1110034B05Rik
uc011wlg.1	1110034B05Rik
uc007bbb.2	1110034B05Rik
uc007bbc.2	9430016H08Rik
uc007bbd.2	Spats2l
uc007bbe.2	Spats2l
uc011wlh.1	Kctd18
uc007bbf.2	Kctd18
uc011wli.1	Kctd18
uc007bbh.2	Kctd18
uc007bbi.2	Kctd18
uc007bbj.2	Kctd18
uc011wlj.1	Sgol2
uc007bbk.2	Sgol2
uc007bbl.1	Aox1
uc007bbm.1	Aox3
uc007bbn.1	Aox3
uc007bbo.1	Aox4
uc007bbp.1	Aox3l1
uc007bbq.1	Bzw1
uc007bbr.1	Bzw1
uc011wlk.1	Clk1
uc007bbs.2	Clk1
uc007bbt.2	Clk1
uc007bbu.2	Clk1
uc007bbw.2	Ppil3
uc007bbx.2	Ppil3
uc007bbv.2	Ppil3
uc007bby.2	Ppil3
uc007bbz.1	Nif3l1
uc007bca.1	Nif3l1
uc007bcb.1	Nif3l1
uc007bcc.1	Orc2
uc007bcd.1	Orc2
uc007bce.1	Orc2
uc007bcf.1	AK144771
uc007bcg.1	AK053027
uc007bch.2	Fam126b
uc007bci.2	Fam126b
uc007bcj.2	Fam126b
uc007bck.1	Ndufb3
uc007bcl.1	AK079804
uc007bcm.2	Als2cr12
uc011wll.1	Als2cr12
uc011wlm.1	Als2cr12
uc007bcn.1	Cflar
uc007bco.1	Cflar
uc007bcp.1	Cflar
uc007bcq.1	Cflar
uc007bcr.1	Cflar
uc007bcs.1	Casp8
uc007bct.1	Casp8
uc007bcv.2	Trak2
uc007bcw.1	PAPK-A
uc007bcx.1	Stradb
uc007bcy.1	Stradb
uc007bcz.1	PAPK-A
uc007bda.1	PAPK-A
uc007bdb.1	Als2cr11
uc011wln.1	Als2cr11
uc007bdc.1	Als2cr11
uc007bdd.1	Als2cr4
uc007bde.1	Als2cr4
uc007bdf.1	Als2cr4
uc011wlo.1	mDLG6A
uc007bdh.1	Mpp4
uc007bdi.2	Mpp4
uc007bdg.2	Mpp4
uc007bdj.1	Mpp4
uc007bdk.2	Mpp4
uc007bdl.2	Als2
uc011wlp.1	Als2
uc007bdm.2	Als2
uc007bdn.2	Als2
uc007bdr.2	Cdk15
uc007bdq.2	Cdk15
uc007bds.2	Cdk15
uc011wlq.1	Fzd7
uc007bdv.1	Gm973
uc007bdw.1	AK006768
uc007bdx.1	Sumo1
uc007bdy.1	Nop58
uc011wlr.1	Snord70
uc011wls.1	Snord11
uc007bdz.1	Bmpr2
uc011wlt.1	Fam117b
uc007beb.1	Ica1l
uc007bec.1	Ica1l
uc007bed.1	Ica1l
uc007bee.2	Wdr12
uc007bef.2	Wdr12
uc007beg.2	Wdr12
uc007beh.1	Carf
uc007bei.1	Carf
uc011wlu.1	Carf
uc011wlv.1	Carf
uc011wlw.1	Carf
uc007bej.1	Nbeal1
uc007bek.1	Nbeal1
uc011wlx.1	Nbeal1
uc011wly.1	Nbeal1
uc007bel.1	AK041465
uc007bem.1	Cyp20a1
uc007ben.1	Cyp20a1
uc007beo.1	Cyp20a1
uc007bep.2	Abi2
uc007ber.2	Abi2
uc007beq.2	Abi2
uc007bes.1	Raph1
uc007bet.1	AK136844
uc007beu.1	AK217854
uc007bev.2	Cd28
uc007bew.2	Cd28
uc007bex.1	AK040166
uc007bey.1	AK009383
uc007bez.1	Ctla4
uc007bfa.1	ctla-4
uc011wlz.1	Icos
uc007bfc.2	Pard3b
uc007bfd.2	Pard3b
uc007bfe.2	Pard3b
uc007bfg.1	AK015421
uc007bfh.1	AK076674
uc011wma.1	Pard3b
uc007bfi.1	Nrp2
uc007bfj.1	Nrp2
uc007bfk.1	Nrp2
uc007bfl.1	Nrp2
uc007bfm.1	Nrp2
uc007bfn.1	Nrp2
uc007bfo.1	Nrp2
uc007bfp.1	Nrp2
uc007bfq.2	Ino80d
uc011wmb.1	Ino80d
uc011wmc.1	Ino80d
uc007bft.1	AK017924
uc007bfy.2	Ndufs1
uc011wmd.1	Ndufs1
uc007bfu.2	Ndufs1
uc007bfv.2	Ndufs1
uc007bfw.1	Ndufs1
uc007bfx.2	Ndufs1
uc007bfz.2	Eef1b2
uc011wme.1	Snora41
uc007bga.1	Gpr1
uc007bgb.2	Zdbf2
uc007bgc.2	Zdbf2
uc007bgd.1	Adam23
uc007bge.1	Adam23
uc007bgf.2	Adam23
uc007bgg.1	Adam23
uc011wmf.1	Adam23
uc007bgh.1	Adam23
uc007bgi.1	Dytn
uc007bgj.1	Mdh1b
uc007bgk.2	Fastkd2
uc007bgl.2	Fastkd2
uc007bgm.1	OTTMUSG00000013918
uc007bgn.1	AK150559
uc007bgo.1	Klf7
uc007bgp.1	Klf7
uc007bgq.1	Klf7
uc007bgr.1	Creb1
uc007bgs.1	Creb1
uc007bgt.1	Creb1
uc011wmg.1	Creb1
uc007bgu.1	Fam119a
uc007bgv.1	Fam119a
uc007bgw.1	AK013046
uc007bgx.1	Ccnyl1
uc007bgy.1	Fzd5
uc007bgz.1	Fzd5
uc011wmh.1	Plekhm3
uc007bha.1	Plekhm3
uc007bhb.1	Plekhm3
uc007bhc.1	Akr1cl
uc007bhd.1	Akr1cl
uc007bhe.1	4921521F21Rik
uc007bhf.1	Cryge
uc007bhg.2	Crygd
uc007bhh.1	Crygc
uc007bhi.1	Crygc
uc007bhj.1	Crygb
uc007bhk.1	Cryga
uc007bhl.1	D630023F18Rik
uc007bhm.1	D630023F18Rik
uc011wmi.1	D630023F18Rik
uc007bhn.2	Idh1
uc011wmj.1	Idh1
uc007bho.1	Pikfyve
uc007bhp.1	Pikfyve
uc007bhq.1	Pikfyve
uc007bhr.1	Pikfyve
uc007bhs.1	Pikfyve
uc007bht.1	Pikfyve
uc007bhu.1	Pth2r
uc007bhv.1	Crygf
uc007bhw.1	Mtap2
uc007bhx.1	Mtap2
uc007bhy.1	Mtap2
uc007bhz.1	Mtap2
uc007bia.1	Mtap2
uc007bib.1	Mtap2
uc007bic.1	Mtap2
uc007bid.1	Mtap2
uc007bie.1	Mtap2
uc007bif.2	Unc80
uc011wmk.1	Unc80
uc007bih.2	Unc80
uc007bii.2	Unc80
uc007bij.1	Rpe
uc007bik.1	Rpe
uc007bil.1	Rpe
uc011wml.1	1110028C15Rik
uc007bim.2	1110028C15Rik
uc007bin.2	1110028C15Rik
uc007bio.2	1110028C15Rik
uc007bip.1	1110028C15Rik
uc007biq.2	1110028C15Rik
uc007bir.1	Acadl
uc007bis.2	Myl1
uc007bit.2	Myl1
uc007biu.2	Myl1
uc011wmm.1	Lancl1
uc007biv.1	Lancl1
uc007bix.2	Lancl1
uc007biw.2	Lancl1
uc007biy.1	Cps1
uc007biz.1	Cps1
uc007bja.1	BC108272
uc007bjb.1	Erbb4
uc007bjc.1	Erbb4
uc007bjd.2	Ikzf2
uc007bjg.1	Spag16
uc007bjh.1	Spag16
uc007bji.1	Spag16
uc007bjj.1	Vwc2l
uc007bjk.1	Vwc2l
uc011wmn.1	Vwc2l
uc011wmo.1	Vwc2l
uc011wmp.1	Vwc2l
uc007bjm.2	Bard1
uc011wmq.1	Abca12
uc007bjo.2	Abca12
uc007bjp.1	Abca12
uc007bjq.1	Abca12
uc007bjr.2	Atic
uc007bjs.2	Atic
uc007bjt.2	Atic
uc007bju.1	Fn1
uc007bjv.1	Fn1
uc007bjw.1	Fn1
uc007bjx.1	Fn1
uc007bjy.1	Fn1
uc007bjz.1	Fn1
uc007bka.1	Fn1
uc007bkb.1	Fn1
uc007bkc.1	Fn1
uc007bkd.1	Fn1
uc007bke.1	Gm15456
uc007bkf.1	AK049041
uc011wmr.1	Gm8883
uc011wms.1	Gm8883
uc007bkg.2	Mreg
uc011wmt.1	AK044410
uc007bkh.1	AK084284
uc007bki.2	Pecr
uc011wmu.1	Pecr
uc007bkj.2	Pecr
uc007bkk.1	Tmem169
uc007bkl.2	Xrcc5
uc007bkn.1	4-Mar
uc007bko.2	Smarcal1
uc007bkp.2	Smarcal1
uc007bkq.2	Smarcal1
uc007bkr.2	Smarcal1
uc007bks.2	Smarcal1
uc007bkt.2	Ankar
uc011wmv.1	Ankar
uc007bku.2	Ankar
uc007bkv.2	Rpl37a
uc007bkw.1	Igfbp2
uc011wmw.1	Igfbp5
uc007bkx.1	Igfbp5
uc007bky.1	AK048274
uc007bkz.2	Tnp1
uc007bla.1	BC100504
uc007blb.1	Pinc
uc007blc.1	Pinc
uc007bld.1	AK079660
uc007blf.2	Tns1
uc011wmx.1	Tns1
uc007blg.2	Tns1
uc007bli.1	Tns1
uc011wmy.1	Rufy4
uc007blk.2	Rufy4
uc007bll.1	Cxcr2
uc007blm.1	Cxcr1
uc007bln.1	Arpc2
uc007blo.1	Arpc2
uc007blp.1	Arpc2
uc007blq.1	Gpbar1
uc007blr.2	Aamp
uc011wmz.1	Aamp
uc007bls.1	Pnkd
uc007blt.1	Pnkd
uc007blu.1	Pnkd
uc007blv.2	Tmbim1
uc007blw.1	Pnkd
uc007blx.1	Gm216
uc011wna.1	Gm216
uc007bly.2	Slc11a1
uc007blz.2	Ctdsp1
