chr1	4480000	4490000	Sox17	-
chr1	13113800	13119800	Prdm14	-
chr1	19092000	19101000	Tcfap2d	+
chr1	19195400	19209200	Tcfap2b	+
chr1	19195400	19209200	Tcfap2b	+
chr1	19222600	19233200	Tcfap2b	+
chr1	34806000	34809400	Arhgef4	+
chr1	42740400	42761800	2610017I09Rik	-
chr1	42740400	42761800	Pou3f3	+
chr1	42740400	42761800	2900092D14Rik	+
chr1	42767800	42772400	2900092D14Rik	+
chr1	57025000	57042600	Satb2	-
chr1	57025000	57042600	9130024F11Rik	+
chr1	62748800	62755400	Nrp2	+
chr1	72916400	72923000	Igfbp5	-
chr1	74814000	74823400	Wnt6	+
chr1	74828000	74832200	Wnt10a	+
chr1	74834600	74855800	Wnt10a	+
chr1	74896600	74905600	Cdk5r2	+
chr1	74927000	74935600	Fev	-
chr1	74937000	74941400	Cryba2	-
chr1	74943800	74949400	Mir375	-
chr1	74993800	75000400	Ihh	-
chr1	75383600	75386800	Speg	+
chr1	75417400	75421200	Gmppa	+
chr1	75443000	75448400	Accn4	+
chr1	78183200	78203800	Pax3	-
chr1	78205200	78216800	Pax3	-
chr1	78305800	78309400	Sgpp2	+
chr1	82283600	82290200	Irs1	-
chr1	89049000	89054400	Ecel1	-
chr1	89159000	89168400	Efhd1	+
chr1	89405400	89408000	Ngef	-
chr1	91823200	91833800	Gbx2	-
chr1	121315600	121320600	Inhbb	-
chr1	122235000	122241200	C1ql2	+
chr1	122490800	122505000	En1	+
chr1	130486400	130490000	Cxcr4	-
chr1	133858800	133861600	Slc45a3	+
chr1	136604600	136607400	Syt2	+
chr1	137813400	137817800	Pkp1	-
chr1	138155400	138158400	Gpr25	-
chr1	140733400	140747400	Lhx9	-
chr1	140733400	140747400	Lhx9	-
chr1	156943800	156947600	Ier5	-
chr1	157575800	157592600	Lhx4	-
chr1	165239000	165246400	Prrx1	-
chr1	169617200	169624400	Lmx1a	+
chr1	180457000	180461800	Kif26b	+
chr1	186539800	186560400	Hlx	-
chr1	189428000	189434800	Esrrg	+
chr1	191166200	191169000	Kcnk2	-
chr1	191166200	191169000	Kcnk2	-
chr1	191166200	191169000	Kcnk2	-
chr1	191990800	192001400	Prox1	-
chr2	9793200	9819800	Gata3	-
chr2	9793200	9819800	4930412O13Rik	+
chr2	10290200	10298800	Sfmbt2	+
chr2	12930400	12934400	C1ql3	-
chr2	17946600	17974000	LOC100034739	+
chr2	17946600	17974000	A930004D18Rik	-
chr2	17946600	17974000	2810030E01Rik	-
chr2	18528200	18533200	Commd3	+
chr2	18592400	18623200	Commd3	+
chr2	18592400	18623200	Bmi1	+
chr2	18592400	18623200	BC061194	+
chr2	19365400	19370400	Ptf1a	+
chr2	19372400	19375800	Ptf1a	+
chr2	22474800	22481400	Gad2	+
chr2	25144800	25148000	Lrrc26	+
chr2	25430400	25436200	Gm996	-
chr2	26056600	26059800	Lhx3	-
chr2	29104600	29110200	6530402F18Rik	-
chr2	31489000	31499200	Prdm12	+
chr2	31508400	31511800	Prdm12	+
chr2	31937800	31941200	Fam78a	-
chr2	33483600	33501200	Lmx1b	-
chr2	35956400	35962600	Lhx6	-
